"Category","Name","Location","What It Actually Does","Key Functions","Dependencies","Complexity","Status"
"🎛️ ADVANCED TOOLKIT","file_intelligence.py","~/advanced_toolkit/","Advanced file analysis with SQLite database. Creates comprehensive fingerprints: hashes, MIME types, metadata, language detection, relationships","analyze_file(), scan_directory(), _extract_metadata() - MD5/SHA256 hashing, ffprobe/PIL/PyPDF2 metadata, duplicate detection","hashlib, sqlite3, mimetypes, subprocess, PIL, PyPDF2","High","Active"
"🎛️ ADVANCED TOOLKIT","content_classifier.py","~/advanced_toolkit/","Classifies audio/video by TYPE and PURPOSE using duration + keyword analysis. Distinguishes music/gaming/podcasts/tutorials/stories/spiritual/short clips","analyze_file(), _classify() - ffprobe duration extraction, keyword matching, content type scoring","ffprobe, json, subprocess, pathlib, collections","Medium","Active"
"🎛️ ADVANCED TOOLKIT","ultimate_music_intelligence.py","~/advanced_toolkit/","Complete music management system - checks available AI services, identifies smart actions (transcription, metadata, bundles), provides status summary","load_catalog(), check_available_services(), identify_smart_actions() - 12+ AI service checking, action identification","csv, pathlib, config_manager, re","Very High","Active"
"🎛️ ADVANCED TOOLKIT","audio_transcriber.py","~/advanced_toolkit/","Deep audio transcription with SQLite caching. Transcribes, compares against other files/text files, finds duplicates/variations, builds similarity database","get_transcription(), save_transcription(), find_similar() - Whisper/cloud services, similarity matching, confidence scoring","sqlite3, pathlib, hashlib, difflib, config_manager","Medium","Active"
"🎛️ ADVANCED TOOLKIT","deep_content_aware_analysis.py","~/advanced_toolkit/","Analyzes all JSON metadata from Suno, matches with actual audio files. Handles multiple JSON schemas, extracts song info, creates unified catalog","load_all_json_metadata(), extract_song_info(), find_all_audio_files(), match_metadata_to_files() - recursive JSON loading, fuzzy matching","json, csv, pathlib, subprocess, difflib, collections","Very High","Active"
"🎛️ ADVANCED TOOLKIT","config_manager.py","~/advanced_toolkit/","Loads API keys and settings from ~/.env.d/ directory. Parses .env files, stores API keys separately, provides get_api_key() interface","_load_config(), _load_env_file(), get_api_key() - .env file parsing, JSON config loading","pathlib, json, os","Low","Active"
"🐍 PYTHONS COLLECTION","multi-llm-orchestrator.py","~/pythons/","Intelligent router selecting BEST AI model per task based on type/quality/speed/cost. Implements multi-model consensus for critical decisions. 12+ AI models configured","select_best_model(), query_model(), multi_model_consensus() - OpenAI/Claude/Grok/Groq/Gemini/Cohere/DeepSeek routing","anthropic, openai, groq, google.generativeai, cohere, asyncio","Very High","Active"
"🐍 PYTHONS COLLECTION","content-orchestrator.py","~/pythons/","Unified content orchestration integrating Make.com blueprints, Python scripts, TypeScript awareness, multi-AI. Converts Make.com workflows to Python code","parse_makecom_blueprint(), makecom_to_python(), deep_content_analysis(), generate_youtube_content() - Make.com parsing, semantic embeddings, YouTube pipeline","anthropic, openai, groq, asyncio, json, pathlib","Very High","Active"
"🐍 PYTHONS COLLECTION","automation-discovery-engine.py","~/pythons/","Uses ALL 12 AI APIs to discover automation opportunities. Analyzes 562,868 files, identifies repetitive tasks, integration opportunities, workflow combinations","discover_content_pipelines(), prioritize_opportunities(), generate_implementation_plan() - 8 major opportunities found, ROI calculation","anthropic, openai, json, pathlib, collections","High","Active"
"🐍 PYTHONS COLLECTION","intelligent-workflow-builder.py","~/pythons/","Analyzes 748+ Python scripts using AST parsing, creates optimized AI-powered workflows, maps dependencies, calculates ROI/time savings","analyze_codebase(), _scan_directory(), _load_from_csv() - AST parsing, dependency mapping, workflow generation","ast, json, csv, anthropic, openai, pathlib, collections","High","Active"
"🐍 PYTHONS COLLECTION","deep-folder-analyzer.py","~/pythons/","Comprehensive directory analysis - structure, file types, sizes, patterns, depth distribution, largest files/dirs, empty dirs, symlinks, detailed reports","analyze(), calculate_dir_size(), print_report(), save_json_report() - recursive scanning, size calculation, statistics generation","os, json, pathlib, collections, mimetypes, datetime","Medium","Active"
"📁 ORGANIZE FOLDER","organize.py","~/organize/","CSV-driven file copy utility. Reads CSV with Original Path column, copies files to destination while preserving directory structure","copy_files_with_structure() - CSV reading, directory creation, file copying","csv, os, shutil","Low","Active"
"📁 ORGANIZE FOLDER","audio.py","~/organize/","Audio file metadata extractor. Scans directories for audio files, extracts ID3 tags using Mutagen, generates CSV with filename/duration/size/date/path","generate_dry_run_csv(), get_audio_metadata() - Mutagen ID3 reading, duration formatting, exclusion patterns","mutagen (EasyID3, MP3), csv, os, re, datetime","Low","Active"
"📁 ORGANIZE FOLDER","img.py","~/organize/","Image file metadata extractor. Scans directories for images, extracts metadata using PIL, generates CSV with filename/size/date/width/height/DPI/path","generate_csv(), get_image_metadata() - PIL image analysis, DPI extraction, dimension reading","PIL/Pillow, csv, os, re, datetime","Low","Active"
"🧹 CLEAN/CONTENT_INTEL","analyzer.py","~/clean/content_intel/","Core AST + semantic analysis pipeline. Uses AST parsing, libcst, astroid, sentence transformers for intelligent file insights - embeddings, semantic tags, architectural roles","analyze_file(), _summarize_ast(), _tag_semantics(), _detect_architecture(), _get_embedding() - AST analysis, semantic tagging, embedding generation with caching","ast, libcst, astroid, sentence_transformers, networkx, sqlite3","High","Active"

