Riddle,Answer
"I am seen in the dark but am not a light, I gleam in the night with a luminous sight. What am I?",Cat's Eyes
"I wax and wane but am not a candle, I influence tides but am not the wind. What am I?",The Moon
"I am a home to the nocturnal, yet I do not sleep. What am I?",A Belfry
"I bind but am not a rope, I clank but am not a bell. What am I?",A Chain
"I haunt but am not a ghost, I am a tale but am not a book. What am I?",A Legend
"I am wise but do not advise, I can hoot but cannot boot. What am I?",An Owl
"I am carved but am not wood, I am lit but am not fire. What am I?",A Pumpkin
"I am human but sometimes not, I change with the moon, whether I like it or not. What am I?",A Werewolf
"I stand still but am not alive, I mark the end but am not a period. What am I?",A Tombstone
"I sail the seas but am not a ship, I am crewed by the dead on an eternal trip. What am I?",A Ghost Ship
"I am left behind but am not a footprint, I am ghostly but am not a spirit. What am I?",Ectoplasm
"I am experienced in sleep but am not a dream, I frighten but am not a monster. What am I?",A Nightmare
"I swirl but am not a whirlwind, I am a portal but am not a door. What am I?",A Vortex
"I am operated by a spirit but am not a body, I communicate but do not speak. What am I?",A Ouija Board
"I am cast but am not a net, I change fate but am not destiny. What am I?",A Spell
"I am used to seek spirits but am not a medium, I flicker but am not a flame. What am I?",A Séance Candle
"I am dead but can be found in chambers, I am a ruler but do not command. What am I?",A Mummy
"I am a friendly ghost, but my uncles are quite mean. Who am I?",Casper
"I haunt your dreams, with a glove that screams. Who am I?",Freddy Krueger
"I am a great white, causing beach fright. What am I?",Jaws
"I am a doll, but I'm not cute and small. Who am I?",Chucky
"I make objects fly, in a house near a cemetery, what am I?",Poltergeist
"I haunt a hotel in winter, driving a writer to splinters. Who am I?",Jack Torrance
"I crawl from a TV, after seven days you'll see me. Who am I?",Samara
"I stalk babysitters, with a mask that's a real thriller. Who am I?",Michael Myers
I spin my head and spew some dread. Who am I?,Regan
"I haunt a camp, with a mask that's damp. Who am I?",Jason Voorhees
"I record your fears, then it's your life I shear. Who am I?",Ghostface
"I am a possessed toy, bringing no joy. Who am I?",Annabelle
"I run a motel, and things don't go so well. Who am I?",Norman Bates
"I am a vampire hunter, with a blade that's a real thunder. Who am I?",Blade
"I am a priest, fighting a demonic beast. Who am I?",Father Merrin
"I film witches in the woods, but misunderstood. Who am I?",Heather
"I am bullied and drenched, then the prom is wrenched. Who am I?",Carrie
"I fight aliens with a crew, in deep space, who knew? Who am I?",Ripley
I defend a mall from the undead crawl. Who am I?,Peter
"I am bitten, then my fate is written. Who am I?",David
"I am a child, but my actions are wild. Who am I?",Damien
"I see death, before it steals your breath. Who am I?",Aidan
"I fall for a vampire, sparking a dire pyre. Who am I?",Mina
"I host horror with a bust, in me, you can trust. Who am I?",Elvira
"I summon cenobites, with a puzzle that bites. Who am I?",Frank
"I create life, causing strife. Who am I?",Dr. Frankenstein
"I am a journalist, uncovering a list. Who am I?",Robert
"I am a clown, in a town down. Who am I?",Pennywise
"I survive Ghostface, in a deadly chase. Who am I?",Sidney
"I talk to spirits, with a gift that merits. Who am I?",Cole
"I am a witch, causing a glitch. Who am I?",Blair
"I am a psychic, solving things quite cryptic. Who am I?",Lorraine
"I steal bodies, in creepy lobbies. Who am I?",Tall Man
"I am a caretaker, turned life-taker. Who am I?",Grady
"I am silent but deadly, with a walk so steady. Who am I?",Michael Myers
"I haunt a Connecticut family, with scares quite uncannily. Who am I?",Bathsheba
I have knives for fingers and love your dreams to linger. Who am I?,Freddy Krueger
"I’m picked up on the road, but my intentions are a heavy load. Who am I?",Mary
"I am an ancient shape, causing a family to gape. What am I?",The Pyramid
"I appear when traditions are broken, and my presence is a spooky token. Who am I?",Sam
"I haunt a house in Japan, scaring every man. Who am I?",Kayako
"I am a car with a mind of my own, causing chaos wherever I'm shown. Who am I?",Christine
"I possess a young girl, making her head twirl. Who am I?",Pazuzu
"I bring the dead to life, causing much strife. Who am I?",The Undertaker
"I bring death in seven days, after a tape plays. What am I?",The Ring
I show reflections of a ghastly connection. What am I?,Oculus
"I am a gelatinous mass, consuming all in my path. What am I?",The Blob
"I burst from chests, creating quite a mess. What am I?",Xenomorph
"I am a nun, but my presence is no fun. Who am I?",Valak
"I suck people into a static dimension, with a ghastly intention. What am I?",Poltergeist TV
"I have scissors for hands, but creating beauty is where I stand. Who am I?",Edward
"I transform with the moon, howling a haunting tune. Who am I?",Werewolf
"I am a creature from the sea, but no Ariel, I guarantee. Who am I?",Merman
"I am a ventriloquist's doll, but my intentions appall. Who am I?",Billy
"I am a hotel that traps souls, where evil takes its toll. What am I?",Overlook Hotel
"I turn monstrous if fed after midnight, causing a frightful sight. What am I?",Gremlin
"I study tribes, but my fate describes a deadly vibe. Who am I?",Darrow
"I am a house of dolls, where horror befalls. What am I?",Dollhouse
"I am a beacon of despair, with a spiral stair. What am I?",The Lighthouse
"I am a space above, where dark secrets shove. What am I?",Attic
"I envelop a town, where creatures are found. What am I?",The Fog
"I seem innocent and sweet, but my intentions aren’t neat. Who am I?",Esther
"I am a puppet who seeks a soul, to become a real boy is my goal. Who am I?",Blade
"I experiment with flies, but my project belies. Who am I?",Brundle
"I study demons, with my wife, we find reasons. Who am I?",Ed Warren
"I shroud a town, where monsters are found. What am I?",The Mist
"I am immortal with a thirst, by sunlight, I'm cursed. Who am I?",Dracula
"I am a clown in the sewer, my presence is a terror. Who am I?",Pennywise
"I wear a human mask, in brutality, I bask. Who am I?",Leatherface
"I abduct in the night, causing an unearthly fright. What am I?",UFO
"I fly on a broom, casting spells of doom. Who am I?",Witch
"I am a videotape, watching me, there's no escape. What am I?",The Ring
"I have a Glasgow smile, my chaos runs a mile. Who am I?",Joker
"I am a wall hanging, but my story is quite banging. What am I?",The Tapestry
"I am a forest where witches reside, entering me, you must decide. What am I?",Black Hills Forest
"I am a hotel with room 1408, staying in me is a mistake. What am I?",Dolphin Hotel
"I am a spirit in the TV, reaching out eerily. Who am I?",Carol Anne
"I am a game that traps your soul, playing me is a dangerous goal. What am I?",Jumanji
"I am a mirror that brings bad luck, breaking me is amiss amuck. What am I?",Mirror
"I am a girl in a well, my story, the tape will tell. Who am I?",Samara
"I stand in the field, a haunting yield. What am I?",Scarecrow
"We are children who whisper, our presence makes you shiver. Who are we?",Children of the Corn
"I am a painting that watches you, my eyes follow your every move. What am I?",The Painting
"I am a house on haunted ground, within my walls, spirits are found. What am I?",Amityville House
"I am a corpse bride, in the underworld, I reside. Who am I?",Emily
"I am a doll, but I'm not small, my size can appall. What am I?",Slappy
"We are neighbors, not what we seem, our secret is quite extreme. Who are we?",The Klopeks
"I am an undertaker, my graveyard is a real shaker. Who am I?",Jud
"I am a window to another world, where horrors are unfurled. What am I?",The Window
"I am a lagoon, my creature makes you swoon. What am I?",Black Lagoon
"I am a fog that brings the dead, through me, they are widespread. What am I?",The Fog
"I am a mask that brings fear, every Halloween I appear. What am I?",Michael's Mask
"I am a haunt that's not a ghost, but my scares are utmost. What am I?",The Haunt
"I am an omen of death, predicting your last breath. What am I?",The Omen
"I am a phantom, not of the opera, but my presence is a chimera. What am I?",Phantom
"I am a potion, causing quite a commotion. What am I?",Witch's Brew
"I bubble and boil, with ingredients to coil. What am I?",Cauldron
"I cast spells with a flick, my magic is quite slick. Who am I?",Witch
"I contain spells, with enchanting smells. What am I?",Spellbook
"I am pointy and black, witchy fashion I don't lack. What am I?",Witch Hat
"I am full and bright, enhancing the witch's might. What am I?",Full Moon
"I fly through the night, giving folks a fright. What am I?",Broomstick
"I am black and bring bad luck, with a witch, I'm stuck. What am I?",Black Cat
"I am carved and lit, on porches I sit. What am I?",Jack-o'-lantern
I am newt and quite an ingredient loot. What am I?,Eye of Newt
"where cackles and brooms through the night sky steer. Can you guess who she might be, soaring high, wild and free?",Witch
"Can you decipher who makes no stand, yet chills the air so eerily grand?",Ghost
"Can you unveil who this might be, with a thirst for blood and a fear of the garlic tree?",Vampire
"Can you determine who craves the brain, stumbling through the night, devoid of pain?",Zombie
"Can you solve what’s delightful to eat, a Halloween treat that’s hard to beat?",Candy
"Can you unravel who creates a web, where unsuspecting insects dreadfully ebb?",Spider
"Can you identify who turns its head, keeping watch while you're tucked in bed?",Owl
"Can you guess what’s worn with a twitch, by a cackling, enchanting witch?",Witch's Hat
"Can you solve this fiery riddle, that lives, breathes, and dances a little?",Fire
"Can you deduce what grows with less, a void, a hollow, an emptiness?",Hole
"Can you determine what speaks back, in caverns and crevices, without a lack?",Echo
"Can you figure out who asks so sweet, for something good to eat?",Trick-or-Treater
"Can you illuminate what lights the way, carving faces, bright and gay?",Jack-o'-lantern
"Can you solve who doesn’t scare, a friendly skeleton standing there?",Skeleton
"Can you decipher what flies yet sweeps, in the night where darkness creeps?",Broomstick
"Can you tell who is wise and silently stares, through the dark, with haunting glares?",Owl
"Can you elucidate what masks the street, making shapes and shadows discreet?",Fog
"Can you solve what burns so bright, waxing away in the quiet night?",Candle
"Can you figure out what’s made and told, bringing laughter to young and old?",Joke
"Can you determine what’s left behind, with every step of humankind?",Footprints
"Can you deduce what cries without eyes, watering fields under the skies?",Rain
"Can you solve what’s heavy forward, yet backward, it's not a hoard?",Ton
"What stretches long and lurks at night, but disappears with morning light?",Shadow
"What bubbles and boils, in a pot so black, where witches brew and cackle with a knack?",Cauldron
"What's worn by specters, transparent and light, floating through walls in the dead of night?",Ghost Sheet
"What stares without blinking, in the dark it's thinking, often in colors of green or red, watching you as you head to bed?",Cat's Eyes
"What's carved in orange, with a light within, grinning ear to ear with a toothy sin?",Jack-o'-lantern
"Where ghosts and ghouls come out to play, and people avoid, come what may?",Haunted House
"What sweeps the floor but also flies, under the moon in the night skies?",Witch's Broom
"What's wrapped in wrappers, sweet to taste, collected eagerly in the haste?",Candy
"What's full and bright, in the night gives light, and transforms all into a spooky sight?",Full Moon
"Who sleeps in a coffin, avoids the day, and at night comes out to play?",Vampire
"What's spun by a creature, sticky and fine, catching prey in a deadly line?",Spiderweb
"Who howls at the moon, with fur and a growl, in the dark night on the prowl?",Werewolf
"What's brewed with eye of newt and toe of frog, in a misty, mystical, bubbling bog?",Witch's Potion
"What rattles and clangs, in haunted halls, echoing through the ghostly walls?",Ghostly Chains
"What obscures the view, thick and gray, hiding monsters and ghouls along the way?",Fog
"What stands in the yard, where the dead sleep, with words engraved for souls to keep?",Tombstone
"Who's wrapped in bands, from head to toe, ancient and silent, moving slow?",Mummy
"What's left behind by spirits unseen, a gooey residue, slimy and green?",Ectoplasm
"Who watches silently, in the dark night, with eyes that glow with a haunting light?",Owl
"Who stands in the field, straw-stuffed and tall, frightening crows, one and all?",Scarecrow
"I bubble and toil, but I'm not a trouble, in a cauldron I mix, creating a subtle double. What am I?",Potion
"I house the departed, silent and stony, yet tales of the past render me not so lonely. What am I?",Crypt
"I am a phrase, a call to the skies, when witches ascend, and the moonlight lies. What am I?","""Fly by night"""
"I transform with the moon, from man to a beast, my howl in the night, on fears it will feast. What am I?",Werewolf
"I am a specter, yet not always feared, for in a white sheet, I am often geared. What am I?",Ghost
"I wear a grin, or a ghastly gaze, lit from within, in October days. What am I?",Jack-o'-lantern
"I am worn to disguise, to fright or amuse, on All Hallows' Eve, your persona you choose. What am I?",Mask
"I linger in halls, unseen by the eye, a chill in the air, as I silently sigh. What am I?",Ghost
"I am a sound, in caverns I play, repeating your words, in a ghostly array. What am I?",Echo
"I am a dance, yet not of delight, but of the dead, in the quiet night. What am I?",Danse Macabre
"I am a sign, of doom or fate, foretelling the future, in whispers innate. What am I?",Omen
"I am unseen, yet I cause a fright, moving objects, in the dead of night. What am I?",Poltergeist
"I am a rest, yet not so serene, for in my embrace, the dead are seen. What am I?",Coffin
"I am a bird, black as the night, in tales of horror, I take my flight. What am I?",Raven
"I am a dark follower, without a say, mimicking moves, in the light of day. What am I?",Shadow
"I am not just for sweeping the floor, in tales of witches, I am something more. What am I?",Broomstick
"I am a spell, with words so profound, causing change, with a mystical sound. What am I?",Enchantment
"I am a creature, both man and beast, under the full moon, my horrors are leased. What am I?",Werewolf
"I haunt old castles, yet I'm not a king, a transparent figure, through walls I spring. What am I?",Ghost
"I appear in the dark, a figure so dire, igniting your fears, and dread entire. What am I?",Apparition
"I'm a friendly ghost, quite well-known, in a place called Whipstaff, I've been shown. Who am I?",Casper
"In Haddonfield, I create a fright, with a mask so pale, in the Halloween night. Who am I?",Michael Myers
"I'm a vampire, but not so mean, in a little town called Spookley, I'm seen. Who am I?",Count Dracula (Hotel Transylvania)
"I'm a pumpkin king, in a town that screams, where every day is Halloween. Who am I?",Jack Skellington (The Nightmare Before Christmas)
"I am a wizard, young and brave, fought the dark lord, and Hogwarts I save. Who am I?",Harry Potter
"I'm a mischievous cat, with a hat so tall, creating chaos, having a ball. Who am I?",The Cat in the Hat
"I am a creature, from the black lagoon, my presence brings, much doom and gloom. What am I?",The Creature from the Black Lagoon
"I am a doctor, with bolts in my neck, my creation is known, as a monstrous wreck. Who am I?",Dr. Frankenstein
"I am a girl, with powers untold, with a telekinetic gift, bold and bold. Who am I?",Carrie
"I am a headless specter, in Sleepy Hollow, chasing Ichabod, through every meadow. Who am I?",The Headless Horseman
"I am a werewolf, at Hogwarts I teach, about creatures and beasts, to students I reach. Who am I?",Professor Lupin
"I am a vampire, with a love so true, in Forks, Washington, my story grew. Who am I?",Edward Cullen
"I am a doll, with a spirit inside, causing chaos, where will you hide? Who am I?",Chucky
"I am a family, peculiar and odd, with a dark mansion, where ghouls have trod. Who are we?",The Addams Family
"I am a hotel, with horrors untold, where a writer and his family, unfold. What am I?",The Overlook Hotel (The Shining)
"I am a killer, in your dreams I appear, with a glove of blades, invoking fear. Who am I?",Freddy Krueger
"I am a witch, in Oz I'm seen, with monkeys flying, I can be quite mean. Who am I?",The Wicked Witch of the West
"I am a place, where monsters make, a human child, causes a quake. What am I?","Monsters, Inc."
"I am a scientist, with a flux capacitor car, traveling through time, near and far. Who am I?",Doc Brown (Back to the Future)
"I am a day, when the dead can roam, in a Mexican tradition, they find their home. What am I?",Day of the Dead (Día de Muertos)
"I am a creature, with bolts in my neck, misunderstood, I'm not a total wreck. Who am I?",Frankenstein's Monster
"I am a ghost, with a voracious appetite, in a maze I roam, all through the night. Who am I?",Pac-Man Ghost
"I am a girl, who can talk to the dead, in a town called Halloweentown, I have led. Who am I?",Marnie Piper
"I am a vampire, old and feared, in Transylvania, my castle is reared. Who am I?",Count Dracula
"I am a hunter, of spirits and ghouls, with a proton pack, I enforce the rules. Who am I?",Ghostbuster
"I am a tree, that throws apples in rage, in a magical land, I take the stage. What am I?",The Apple-Throwing Tree (The Wizard of Oz)
"I am a scarecrow, with a desire so keen, to have a brain, and be a thinking being. Who am I?",The Scarecrow (The Wizard of Oz)
"I am a mummy, in Egypt I sleep, with curses and treasures, in my tomb so deep. Who am I?",The Mummy
"I am a tale, of a horseman without a head, in a village, I spread fear and dread. What am I?",The Legend of Sleepy Hollow
"I am a show, where the dead come to life, survival is key, in a world so strife. What am I?",The Walking Dead
"I am a monster, with a single eye, in a company of scares, I am quite sly. Who am I?","Mike Wazowski (Monsters, Inc.)"
"A doll I am, with a spirit so vile, my name is a palindrome, I kill with a smile.",Annabelle
"A hotel I run, for monsters to stay, a human boy I find, to my daughter's dismay.",Dracula (Hotel Transylvania)
"A vampire I am, in a coffin I lay, I fear the sunlight, and garlic keeps me at bay.",Dracula (Classic Lore)
"A creature I am, with a moonlit change, a howling beast, with a hunger strange.",Werewolf
"A monster I am, from a lab I came, I'm green with bolts, but have no name.",Frankenstein's Monster
"A family I have, all spooky and kooky, our mansion's haunted, and a bit ooky.",The Addams Family
"A killer doll, with a soul of a man, I seek a new body, that's my plan.",Chucky
"A ghostly trio, mischievous and free, with our living cousin, we simply disagree.",The Ghostly Trio (Casper)
"A witch I am, with a nose so hooked, in a cauldron of potions, I am well-cooked.",Wicked Witch
"A mummy I am, in bandages wrapped tight, I seek revenge, in the moonlit night.",The Mummy
"A candyman I am, say my name and see, with a hook for a hand, I come for thee.",Candyman
"A scarecrow I am, in fields I stand, at night I awaken, with a sinister hand.",Scarecrow
"A swamp I haunt, with a heart so pure, a creature of algae, love is my cure.",Swamp Thing
"A demon barber, on Fleet Street I dwell, with pies and revenge, I create hell.",Sweeney Todd
"A ghost I am, in a striped suit, say my name thrice, and I'll come to recruit.",Beetlejuice
"A phantom I am, in an opera I hide, with a mask I cover, my disfigured side.",The Phantom (Phantom of the Opera)
"A poltergeist I am, in your TV I speak, move the headstones, and havoc I wreak.",Poltergeist
"A girl I am, in a well I died, watch my tape, and in 7 days, you're tried.",Samara (The Ring)
"A zombie I am, in graves I rise, I hunger for brains, under the moonlit skies.",Zombie
"A bat I am, in caves I dwell, in the night I fly, in echos I tell.",Bat
"A pumpkin I am, with a grin so wide, inside me, a light does reside.",Jack-o'-lantern
"A vampire hunter, with stakes and a whip, through Dracula's heart, my weapon will slip.",Van Helsing
"A creature I am, with scales and a tail, in the ocean's depths, I silently sail.",Mermaid/Merman
"A ghoul I am, in tombs I creep, with ancient secrets, in darkness, I keep.",Ghoul
"A skeleton I am, with bones so white, I dance and rattle, in the spooky night.",Skeleton
"A warlock I am, with a magical might, in spells and curses, I take delight.",Warlock
"A sorceress I am, with a black cat near, in a pointy hat, I brew fear.",Witch
"A ghost I am, through walls I glide, in haunted houses, I often hide.",Ghost
"A reaper I am, with a hood and scythe, I harvest souls, when life goes awry.",Grim Reaper
"A goblin I am, with a mischievous grin, I cause chaos, and revel in sin.",Goblin
"A monster I am, with a single eye, in a factory of screams, I make kids cry.","Mike Wazowski (Monsters, Inc.)"
"A vampire I am, with a cape and fangs, in a dark castle, my terror hangs.",Classic Vampire
"A monster I am, with bolts and a groan, created from parts, from corpses on loan.",Frankenstein's Monster
"A creature I am, with a lagoon as my bed, with scales and gills, in water I'm led.",Creature from the Black Lagoon
"A headless horseman, through Sleepy Hollow I ride, in search of a head, in pumpkin, I confide.",The Headless Horseman
"A doll I am, in a museum I stay, my eyes will follow, as you walk away.",Robert the Doll
"A creature I am, with wings in the night, I suck your blood, with each little bite.",Bat
"A ghost I am, in chains I wail, with a tale of greed, and a life off the rail.",Jacob Marley (A Christmas Carol)
"A monster I am, with fur and a roar, behind a blue door, screams I store.","Sulley (Monsters, Inc.)"
"A creature I am, with a hunch and a limp, in a bell tower, my solitude is limp.",The Hunchback of Notre Dame
"A monster I am, with a face so pale, in moonlit nights, on a ship I sail.",Nosferatu
"A creature I am, with a howl to the moon, a furry problem, a wolfish tune.",Werewolf
"A creature I am, with a tall, slim frame, I steal children, with a Christmas claim.",Krampus
"A creature I am, with stitches so tight, I lose my hand, to a creature of fright.",Oogie Boogie (The Nightmare Before Christmas)
"A creature I am, with a long, thin snout, I transform at full moon, and mindlessly roam about.",Werewolf
"A creature I am, with a venomous bite, I spin my webs, in the dark of the night.",Spider
"A creature I am, with a pumpkin for a head, I light the way, through fields I tread.",Jack-o'-lantern
"A creature I am, with a bony frame, I rise from the grave, with a life to reclaim.",Skeleton
"I'm a friendly ghost, not one to fear, my name sounds like a weather, clear. Who am I?",Casper
"In a hotel, I shine, a boy with a gift, ""Redrum"" I write, through time I shift. Who am I?",Danny (The Shining)
"I'm a vampire, but not so mean, in a sunny town, my face is seen. Who am I?",Edward (Twilight)
"A doctor I was, till I met a beast, now I hunt in the night, on blood I feast. Who am I?",Dracula
"A pumpkin king, in a skeleton guise, through a door of trees, another holiday I apprise. Who am I?",Jack Skellington (The Nightmare Before Christmas)
"A headless horseman, in a sleepy town, I search for a head, with a pumpkin crown. Who am I?",The Headless Horseman (Sleepy Hollow)
"A doll I am, with a spirit inside, ""Hi, I'm..."", I say, where do I hide?",Chucky (Child's Play)
"A girl in a well, a tape you'll see, seven days later, death you'll plea. Who am I?",Samara (The Ring)
"A family of fright, in a spooky manor, I'm the small hand, with a mischievous manner. Who am I?",Thing (The Addams Family)
"A wizard young, with a scar so bold, fighting a serpent, in tales of old. Who am I?",Harry Potter
"A scientist mad, with a monster to show, from graves and labs, my creation grows. Who am I?",Dr. Frankenstein
"A face of white, and a suit to match, in a silent night, victims I catch. Who am I?",Michael Myers (Halloween)
"A camp I haunt, with a mask so sheer, in the woods, my machete you'll fear. Who am I?",Jason Voorhees (Friday the 13th)
"A dream I am, in a striped sweater, with a clawed hand, I make nights no better. Who am I?",Freddy Krueger (A Nightmare on Elm Street)
"A tale I spin, of Sanderson sisters three, in Salem they dance, who narrates me?",Thackery Binx (Hocus Pocus)
"A foggy town, with pyramid head, in silent streets, many dread. Where am I?",Silent Hill
"A motel I own, with a mother so dear, behind the curtain, my knife you'll fear. Who am I?",Norman Bates (Psycho)
"A cannibal I am, with a taste so refined, with fava beans, a nice Chianti you'll find. Who am I?",Hannibal Lecter
"A day I am, when the dead can roam, in Mexico celebrated, spirits find home. What am I?",Day of the Dead (Día de Muertos)
"A zombie I am, in a mall we stay, consumerism displayed, in a decayed foray. Where am I?",Dawn of the Dead
"A vampire slayer, with stakes so near, in Sunnydale, I cast out fear. Who am I?",Buffy
"A werewolf I am, with a howl to the moon, in London transformed, a creature of doom. What am I?",An American Werewolf in London
"A puzzle box, a gate to hell, with chains and hooks, your flesh will tell. What am I?",Hellraiser
"A shape-shifter clown, in a town so cursed, in sewers I lurk, your bubble I'll burst. Who am I?",Pennywise (IT)
"A TV show, with Mulder and Scully, aliens and monsters, investigations so muddly. What am I?",The X-Files
"A Bates Motel guest, my end in a shower, a scream so iconic, in my final hour. Who am I?",Marion Crane
"A demon I am, with a spinning head, in a girl possessed, many fears are fed. Who am I?",Regan (The Exorcist)
"A creature I am, from the black lagoon, in murky waters, my form will loom. What am I?",Creature from the Black Lagoon
"A scientist I am, in a future bleak, I find a plague, that makes the dead speak. Who am I?",Dr. Robert Neville (I Am Legend)
"A journalist I am, with a daughter so dear, a videotape cursed, brings us fear. Who am I?",Rachel (The Ring)
"A house I am, on a haunted hill, with ghosts and ghouls, your nightmares I'll fill. What am I?",House on Haunted Hill
"A vampire I am, in New Orleans I dwell, with a diary of darkness, many tales I tell. Who am I?",Lestat (Interview with the Vampire)
"A town I am, where a fog rolls in, with ghostly sailors, and a leper's sin. What am I?",Antonio Bay (The Fog)
"A monster I am, with bolts in my neck, a creation of parts, my existence is a wreck. Who am I?",Frankenstein's Monster
"A girl I am, with telekinetic might, at prom they'll learn, of my vengeful fright. Who am I?",Carrie
"I cackle in the night and ride through the sky, who am I?",A Witch
"I can walk through walls and float in the air, but I can’t hold anything. What am I?",A Ghost
"I suck blood and fear garlic, who am I?",A Vampire
"I moan in the dark and chase after brains, who am I?",A Zombie
"I wear a mask and ask for a treat, who am I?",A Trick-or-Treater
"I am a black feline that crosses your path, who am I?",A Black Cat
"I am a creature that changes form with the moon, who am I?",A Werewolf
"I am sweet to eat and come in a wrapper, what am I?",A Candy
"I light the way and scare away the spirits, what am I?",A Jack-o'-lantern
"I am a skeleton that doesn’t scare, what am I?",A Friendly Skeleton
"I am ridden in the sky but I cannot fly, what am I?",A Broomstick
"I spin webs in dark corners, who am I?",A Spider
"I hoot in the night and can turn my head around, who am I?",An Owl
"I am pointy and worn by a witch, what am I?",A Hat
"I bubble and toil but I am not a boil, what am I?",A Potion
"I stand in the field but I am not a farmer, who am I?",A Scarecrow
"I rattle in the night but I am not a snake, what am I?",A Chain
"I am worn by ghosts but not by people, what am I?",A Sheet
"I am associated with wisdom and often seen with witches, who am I?",An Owl
"I obscure your vision but I am not a mask, what am I?",A Fog
"I’m not alive, but I can grow; I don’t have lungs, but I need air; I don’t have a mouth, but water kills me. What am I?",A Fire
"The more you take from me, the bigger I become. What am I?",A Hole
"I speak without a mouth and hear without ears. I have no body, but I come alive with the wind. What am I?",An Echo
"I can be cracked, made, told, and played. What am I?",A Joke
"The more you make, the more you leave behind. What am I?",Footsteps
"I fly without wings. I cry without eyes. Whenever I go, darkness flies. What am I?",Rain
"I’m tall when I’m young, and I’m short when I’m old. What am I?",A Candle
"Forward I am heavy, but backward I am not. What am I?",A Ton
"I can be stolen or given away and you will live, yet you cannot live without me. What am I?",A Heart
"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost every person. What am I?",Pencil Lead
"I'm a watcher in the night, never blinking, always bright. I cast shadows dark and eerie, yet my presence is quite cheery. What am I?",A Pumpkin Lantern
"I bubble and pop, yet I'm not a gum. I toil and spin, yet I'm not a web. I'm part of a brew, yet I'm not a stew. What am I?",A Potion
"I sweep during the day but fly at night. I'm not a bird, yet I take flight. What am I?",A Broom
"I am a word of letters three, add two and fewer there will be. What am I?",Few
"I can rattle and I can roll, yet I'm not a toy. I stand still, yet I'm not a boy. What am I?",A Skeleton
