Question,Option A,Option B,Option C,Option D,Correct Answer
"Who directed the movie ""Metropolis""?",Fritz Lang,Alfred Hitchcock,Stanley Kubrick,Steven Spielberg,Fritz Lang
"Who directed the movie ""Minority Report""?",Steven Spielberg,Ridley Scott,Christopher Nolan,James Cameron,Steven Spielberg
"Who directed the movie ""Jurassic Park""?",Steven Spielberg,James Cameron,Quentin Tarantino,Christopher Nolan,Steven Spielberg
"Who played the lead role in the movie ""The Shawshank Redemption""?",Tom Hanks,Morgan Freeman,Brad Pitt,Tim Robbins,Tim Robbins
"Who is known as the ""King of Pop""?",Madonna,Michael Jackson,Beyoncé,Elvis Presley,Michael Jackson
"Which band performed the song ""Bohemian Rhapsody""?",Queen,The Beatles,Led Zeppelin,Pink Floyd,Queen
Who is the king of the Greek gods?,Zeus,Poseidon,Hades,Apollo,Zeus
Who is the Greek goddess of wisdom?,Hera,Aphrodite,Athena,Artemis,Athena
"Who wrote the novel ""Planet of the Apes""?",Philip K. Dick,Isaac Asimov,Pierre Boulle,H.G. Wells,Pierre Boulle
Who is the current Chancellor of Germany?,Angela Merkel,Emmanuel Macron,Justin Trudeau,Boris Johnson,Angela Merkel
Who developed the theory of psychoanalysis?,B.F. Skinner,Sigmund Freud,Ivan Pavlov,Carl Jung,Sigmund Freud
Who is considered the founder of Buddhism?,Confucius,Siddhartha Gautama,Laozi,Guru Nanak,Siddhartha Gautama
What is the chemical symbol for water?,Wa,Wt,H2O,Wa2,H2O
What is the chemical symbol for gold?,Au,Ag,Hg,Fe,Au
"Who wrote the science fiction novel ""Solaris""?",Arthur C. Clarke,Isaac Asimov,Stanisław Lem,Philip K. Dick,Stanisław Lem
In which sport is the Ryder Cup awarded?,Golf,Tennis,Soccer,Cricket,Golf
Who won the FIFA World Cup in 2018?,Argentina,Brazil,France,Germany,France
Which species is known for its logical mindset?,Klingon,Vulcan,Romulan,Ferengi,Vulcan
What is the name of the starship in Star Trek?,USS Voyager,USS Enterprise,USS Defiant,USS Discovery,USS Enterprise
What is the name of Spock's father?,Sarek,Sybok,Tuvok,Sulu,Sarek
Who is the captain of the USS Enterprise in the original series?,James T. Kirk,Jean-Luc Picard,Benjamin Sisko,Jonathan Archer,James T. Kirk
What is the primary role of a Starfleet vessel?,Exploration,Diplomacy,Warfare,Science,Exploration
What is the name of the Borg collective?,The Hive,The Collective,The Borg,The Nexus,The Collective
Who is the first officer of the USS Enterprise-D?,William Riker,Spock,Data,Worf,William Riker
What is the homeworld of the Klingon species?,Qo'noS,Vulcan,Romulus,Ferenginar,Qo'noS
What is the name of the Vulcan homeworld?,Vulcan,Romulus,Qo'noS,Earth,Vulcan
What is the name of the time-traveling spaceship in Star Trek?,USS Relativity,USS Kelvin,USS Discovery,USS Voyager,USS Relativity
Which starship is commanded by Captain James T. Kirk?,USS Enterprise,USS Voyager,USS Discovery,USS Defiant,USS Enterprise
"Who is the captain of the USS Discovery in ""Star Trek: Discovery""?",Gabriel Lorca,Christopher Pike,Jean-Luc Picard,Kathryn Janeway,Gabriel Lorca
What is the name of the first officer aboard the USS Discovery?,Michael Burnham,Saru,Ash Tyler,Tilly,Michael Burnham
Who is the science officer aboard the USS Discovery?,Paul Stamets,T'Pol,Spock,Sylvia Tilly,Paul Stamets
What is the name of the spore drive engineer aboard the USS Discovery?,Paul Stamets,Hugh Culber,Jet Reno,Keyla Detmer,Paul Stamets
Who is the security officer aboard the USS Discovery?,Ash Tyler,Philippa Georgiou,Nhan,Jett Reno,Ash Tyler
Who is the commander of Deep Space Nine at the start of the series?,Captain Picard,Captain Kirk,Captain Sisko,Captain Janeway,Captain Sisko
"What is the name of the space station that serves as the setting for ""Star Trek: Deep Space Nine""?",Deep Space 9,Deep Space Station K-7,Regula One,Babylon 5,Deep Space 9
Who is the security chief of Deep Space Nine who is also a shape-shifter?,Worf,Odo,Kira Nerys,Quark,Odo
"Which character is known for saying ""It's a faaaake!"" in ""Star Trek: Deep Space Nine""?",Captain Picard,Chief O'Brien,Doctor Bashir,Quark,Doctor Bashir
What is the name of the Cardassian tailor who runs the clothing shop on Deep Space Nine?,Garak,Damar,Dukat,Martok,Garak
Who is the Bajoran first officer of Deep Space Nine who later becomes the captain of the USS Defiant?,Kira Nerys,Jadzia Dax,Leeta,Ezri Dax,Kira Nerys
What is the name of the Ferengi bartender who runs Quark's Bar on Deep Space Nine?,Quark,Rom,Nog,Zek,Quark
Who is the Ferengi who serves as Quark's brother and eventually becomes the Grand Nagus?,Rom,Quark,Nog,Zek,Rom
Which character on Deep Space Nine is a former member of the Cardassian military and later becomes a civilian tailor?,Garak,Dukat,Damar,Martok,Garak
What is the name of the wormhole near Deep Space Nine that provides access to the distant Gamma Quadrant?,The Bajoran Wormhole,The Celestial Temple,The Great Barrier,The Nexus,The Bajoran Wormhole
Who is the Trill science officer of Deep Space Nine who serves as the host for the Dax symbiont?,Jadzia Dax,Ezri Dax,Curzon Dax,Lenara Kahn,Jadzia Dax
What is the name of the Dominion ambassador who poses as a Bajoran farmer on Deep Space Nine?,Weyoun,Odo,Damar,Martok,Weyoun
Who is the Klingon officer who serves as the tactical officer aboard Deep Space Nine and later becomes Chancellor of the Klingon Empire?,Worf,Martok,Gowron,Kang,Worf
"What is the name of the Gamma Quadrant species that serves as the primary antagonist in ""Star Trek: Deep Space Nine""?",Dominion,Klingons,Romulans,Cardassians,Dominion
Which character on Deep Space Nine is a Ferengi and the nephew of Quark?,Nog,Rom,Zek,Brunt,Nog
What is the name of the artificial intelligence that controls the operations of Deep Space Nine?,Odo,Data,LCARS,EMH,LCARS
Who is the Starfleet doctor who serves as the chief medical officer aboard Deep Space Nine?,Julian Bashir,Leonard McCoy,Beverly Crusher,Katherine Pulaski,Julian Bashir
What is the name of the Changeling leader of the Dominion who infiltrates the Alpha Quadrant disguised as a Starfleet officer?,Founder,Weyoun,Odo,Dukat,Founder
Who is the Ferengi who serves as Quark's nephew and later becomes the first Ferengi in Starfleet?,Nog,Rom,Zek,Brunt,Nog
What is the name of the Bajoran religious leader who serves as the Kai of Bajor and has a close relationship with Captain Sisko?,Kai Winn,Kai Opaka,Vedek Bareil,Vedek Kira,Kai Winn
Who is the former commanding officer of Deep Space Nine who later becomes a member of the Bajoran government?,Benjamin Sisko,William Riker,Jean-Luc Picard,Kathryn Janeway,Benjamin Sisko
What is the name of the genetically engineered daughter of Julian Bashir who becomes a key figure in the fight against the Dominion?,Sarina,Ezri Dax,Melora,Morn,Sarina
Who is the Starfleet chief engineer of Deep Space Nine who later becomes the captain of the USS Defiant?,Miles O'Brien,Geordi La Forge,Montgomery Scott,B'Elanna Torres,Miles O'Brien
What is the name of the wormhole alien who communicates with Benjamin Sisko and other Bajorans as their religious figure?,The Prophets,The Founders,The Pah-wraiths,The Q Continuum,The Prophets
"Who is the Cardassian leader who serves as the prefect of Bajor during the early seasons of ""Star Trek: Deep Space Nine""?",Gul Dukat,Legate Damar,Weyoun,Martok,Gul Dukat
What is the name of the holographic lounge singer who performs at Quark's Bar on Deep Space Nine?,Vic Fontaine,Holly,Lolita,Marilyn,Vic Fontaine
Who is the female Ferengi who challenges traditional Ferengi gender roles and becomes a successful businesswoman?,Ishka,Moogie,Grilka,Brunt,Ishka
What is the name of the Cardassian space station that serves as the headquarters of the Dominion in the Alpha Quadrant?,Terok Nor,Empok Nor,Regula One,DS9,Terok Nor
Who is the Bajoran officer who serves as the second officer of Deep Space Nine and later becomes the captain of the USS Defiant?,Jadzia Dax,Ezri Dax,Kira Nerys,Ro Laren,Jadzia Dax
What is the name of the Romulan senator who works with Deep Space Nine to gather intelligence on the Dominion?,Vreenak,Neral,T'Rul,Cretak,Vreenak
Who is the Vorta who serves as the chief diplomatic representative of the Dominion on Deep Space Nine?,Weyoun,Founder,Damar,Keevan,Weyoun
What is the name of the covert operations unit run by Starfleet on Deep Space Nine that conducts intelligence-gathering missions against the Dominion?,Section 31,Section 47,Section 13,Division 6,Section 31
Who is the Changeling who assumes the identity of Dr. Julian Bashir on Deep Space Nine?,Odo,Weyoun,Martok,Laas,Odo
"What is the name of the spaceborne lifeform encountered by the USS Defiant crew in the episode ""Starship Down""?",Tosk,Jem'Hadar,Zalkonians,Tzenkethi,Tosk
Who is the daughter of Worf and K'Ehleyr who is raised by the Rozhenkos on Earth?,Alexander,Jeremy,Nikolai,Mogh,Alexander
What is the name of the mirror universe counterpart of Benjamin Sisko who leads the Terran Rebellion against the Klingon-Cardassian Alliance?,Mirror Sisko,Mirror Spock,Mirror Kirk,Mirror Archer,Mirror Sisko
Who is the Cardassian tailor and former spy who works with the Federation on Deep Space Nine?,Garak,Dukat,Damar,Weyoun,Garak
What is the name of the energy barrier near the Bajoran wormhole that poses a danger to ships entering and exiting the wormhole?,The Denorios Belt,The Badlands,The Briar Patch,The Great Barrier,The Denorios Belt
Who is the Ferengi who serves as the Grand Nagus of the Ferengi Alliance and later marries Ishka?,Zek,Quark,Rom,Brunt,Zek
What is the name of the female changeling who leads the Dominion forces during the Dominion War?,Female Founder,Weyoun,Damar,Martok,Female Founder
Who is the Cardassian officer who serves as the second-in-command of Deep Space Nine under Captain Sisko?,Damar,Weyoun,Garak,Tain,Damar
What is the name of the telepathic species encountered by Deep Space Nine whose members can communicate through thoughts alone?,Cairn,Betazoids,Vulcans,El-Aurians,Cairn
Who is the Bajoran religious leader who serves as the Kai of Bajor and has a tumultuous relationship with Captain Sisko?,Kai Winn,Kai Opaka,Vedek Bareil,Vedek Kira,Kai Winn
What is the name of the Trill symbiont who serves as the Dax host after Jadzia's death?,Ezri Dax,Joran Dax,Audrid Dax,Torias Dax,Ezri Dax
Who is the Cardassian officer who serves as the overseer of Terok Nor under the Bajoran Occupation before becoming the commander of Deep Space Nine?,Gul Dukat,Legate Damar,Weyoun,Martok,Gul Dukat
"What is the name of the organization that conducts covert operations on behalf of the Federation, Cardassians, and Romulans during the Dominion War?",The Obsidian Order,Section 31,Tal Shiar,Starfleet Intelligence,The Obsidian Order
Who is the Trill science officer of Deep Space Nine who serves as the host for the Dax symbiont after Jadzia's death?,Ezri Dax,Jadzia Dax,Curzon Dax,Lenara Kahn,Ezri Dax
"What is the name of the spaceborne lifeform encountered by the USS Defiant crew in the episode ""The Sound of Her Voice""?",Subspace lifeform,Tosk,Zalkonians,Tzenkethi,Subspace lifeform
Who is the commander of Deep Space Nine during the Dominion War?,Benjamin Sisko,Jean-Luc Picard,Kathryn Janeway,James T. Kirk,Benjamin Sisko
What is the name of the Ferengi barkeeper who owns Quark's Bar on Deep Space Nine?,Quark,Rom,Nog,Odo,Quark
Which character serves as the security chief on Deep Space Nine?,Odo,Worf,Tuvok,Geordi La Forge,Odo
What is the name of the shape-shifting species to which Odo belongs?,Changelings,Founders,Dominion,Vorta,Changelings
Which character is a former Bajoran resistance fighter and second-in-command of Deep Space Nine?,Kira Nerys,Jadzia Dax,Ezri Dax,Ro Laren,Kira Nerys
"What is the name of the space station that serves as the primary setting for ""Star Trek: Deep Space Nine""?",Deep Space 9,Deep Space Station K-7,Regula One,Babylon 5,Deep Space 9
Who is the Ferengi who serves as the first officer on Deep Space Nine?,Rom,Nog,Quark,Odo,Nog
What is the name of the Trill science officer who serves on Deep Space Nine and hosts the Dax symbiont?,Jadzia Dax,Ezri Dax,Curzon Dax,Lenara Kahn,Jadzia Dax
Which character serves as the chief medical officer on Deep Space Nine?,Dr. Julian Bashir,Dr. Beverly Crusher,Dr. Leonard McCoy,Dr. Phlox,Dr. Julian Bashir
What is the name of the Cardassian tailor who operates a shop on Deep Space Nine's Promenade?,Elim Garak,Dukat,Weyoun,Damar,Elim Garak
"Who is the Cardassian gul in command of the space station Terok Nor, later known as Deep Space Nine?",Gul Dukat,Gul Madred,Gul Darhe'el,Gul Danar,Gul Dukat
What is the name of the wormhole near Deep Space Nine that provides access to the distant Gamma Quadrant?,Bajoran Wormhole,Denorios Belt,Celestial Temple,Guardian of Forever,Bajoran Wormhole
Which character serves as the Bajoran spiritual leader and political figure on Deep Space Nine?,Kai Winn,Vedek Bareil Antos,Opaka,Kai Opaka,Kai Winn
"What is the name of the mysterious group that exists outside of time and space and seeks to maintain order in the galaxy, encountered by the crew of Deep Space Nine?",Prophets,Q Continuum,Borg Collective,Founders,Prophets
Who is the genetically engineered human who serves as the chief engineer on Deep Space Nine?,Miles O'Brien,Geordi La Forge,B'Elanna Torres,Trip Tucker,Miles O'Brien
What is the name of the Dominion's brutal soldiers who serve as shock troops and enforcers in the Alpha Quadrant?,Jem'Hadar,Vorta,Changelings,Founders,Jem'Hadar
"Who is the daughter of Kira Nerys and Odo, born in the alternate timeline depicted in the episode ""Children of Time""?",Tora Ziyal,Molly O'Brien,Kirayoshi O'Brien,Kassidy Yates,Tora Ziyal
What is the name of the space station near Deep Space Nine that serves as the Federation's first line of defense against Dominion incursions?,Starbase 375,Starbase Deep Space 9,Starbase Deep Space 3,Starbase Deep Space 1,Starbase 375
Who is the Vorta diplomat who serves as the Dominion's representative and liaison to Deep Space Nine?,Weyoun,Keevan,Eris,Gelnon,Weyoun
What is the name of the genetically engineered Cardassian who leads the Dominion's military operations in the Alpha Quadrant?,Damar,Dukat,Weyoun,Gowron,Damar
Who is the Bajoran resistance leader who fights against the Cardassian occupation of Bajor and later becomes a religious figure on Deep Space Nine?,Shakaar Edon,Li Nalas,Lupaza,Minister Jaro,Shakaar Edon
What is the name of the Maquis ship that serves as a base of operations for former Starfleet and Maquis members in the Badlands?,Val Jean,Defiant,Voyager,Prometheus,Val Jean
Who is the Klingon security officer who serves on Deep Space Nine and later becomes a member of the House of Martok?,Worf,Martok,Gowron,Kurn,Worf
What is the name of the ancient artifact that grants its possessor great power and is sought after by various factions in the Alpha Quadrant?,Orb of the Emissary,Orb of Prophecy,Orb of Time,Orb of Wisdom,Orb of the Emissary
Who is the Starfleet admiral who oversees operations on Deep Space Nine and later becomes a key figure in the war against the Dominion?,William Ross,Leonard McCoy,Alynna Nechayev,Owen Paris,William Ross
"Who is the commander of Deep Space Nine in ""Star Trek: Deep Space Nine""?",Benjamin Sisko,Jean-Luc Picard,Kathryn Janeway,James T. Kirk,Benjamin Sisko
What is the name of the shapeshifter security officer on Deep Space Nine?,Odo,Worf,Tasha Yar,Nog,Odo
What is the name of the Ferengi bartender on Deep Space Nine?,Quark,Garak,Rom,Nog,Quark
Who is the science officer aboard Deep Space Nine?,Jadzia Dax,Beverly Crusher,Julian Bashir,Kira Nerys,Jadzia Dax
Who is the Bajoran first officer aboard Deep Space Nine?,Kira Nerys,Ezri Dax,Deanna Troi,Tuvok,Kira Nerys
"Who is the captain of the first warp 5 starship, Enterprise NX-01, in ""Star Trek: Enterprise""?",Jonathan Archer,Kathryn Janeway,Benjamin Sisko,Jean-Luc Picard,Jonathan Archer
What is the name of the Vulcan science officer aboard Enterprise NX-01?,T'Pol,Spock,Sarek,Tuvok,T'Pol
Who is the chief engineer aboard Enterprise NX-01?,Trip Tucker,Malcolm Reed,Hoshi Sato,Travis Mayweather,Trip Tucker
What is the name of the Denobulan doctor aboard Enterprise NX-01?,Phlox,Pulaski,Crusher,Bashir,Phlox
Who is the tactical officer aboard Enterprise NX-01?,Malcolm Reed,Travis Mayweather,Hoshi Sato,Charles Tucker,Malcolm Reed
"Who is the captain of the USS Cerritos in ""Star Trek: Lower Decks""?",Carol Freeman,Brad Boimler,Mariner,Ransom,Carol Freeman
What is the name of the lower decks ensign who often gets into trouble aboard the USS Cerritos?,Brad Boimler,Beckett Mariner,Tendi,Rutherford,Brad Boimler
"Who is the chief medical officer aboard the USS Cerritos in ""Star Trek: Lower Decks""?",T'Ana,T'Pol,Dr. Crusher,Dr. Phlox,T'Ana
What is the name of the cyborg ensign who is focused on upgrading himself aboard the USS Cerritos?,Sam Rutherford,Tendi,Beckett Mariner,Brad Boimler,Sam Rutherford
"Who is the captain of the USS Enterprise-D in ""Star Trek: Picard""?",Jean-Luc Picard,James T. Kirk,Benjamin Sisko,Kathryn Janeway,Jean-Luc Picard
"What is the name of the synthetic lifeform who appears to be Data's daughter in ""Star Trek: Picard""?",Dahj,Soji,Lal,B-4,Dahj
"Which former Borg drone accompanies Jean-Luc Picard on his journey in ""Star Trek: Picard""?",Seven of Nine,Hugh,Icheb,Locutus of Borg,Seven of Nine
"What is the name of the Romulan refugee who serves as Jean-Luc Picard's housekeeper and confidant in ""Star Trek: Picard""?",Laris,Zhaban,Raffi,Elnor,Laris
"Who is the former Starfleet officer who serves as the captain of La Sirena in ""Star Trek: Picard""?",Cristóbal Rios,Raffi Musiker,Narek,Hugh,Cristóbal Rios
"What is the name of the Romulan secret police organization featured in ""Star Trek: Picard""?",Zhat Vash,Tal Shiar,Obsidian Order,Section 31,Zhat Vash
"Who is the captain of the USS Enterprise-D in ""Star Trek: Picard""?",Captain Kirk,Captain Sisko,Captain Picard,Captain Janeway,Captain Picard
"What is the name of the Romulan secret police organization featured in ""Star Trek: Picard""?",Tal Shiar,Obsidian Order,Zhat Vash,Section 31,Zhat Vash
"Who is the former Starfleet admiral who initially refuses Jean-Luc Picard's request for assistance in ""Star Trek: Picard""?",Kirsten Clancy,William Riker,Kathryn Janeway,Leonard McCoy,Kirsten Clancy
"What is the name of the rogue synthetic lifeform who leads a rebellion against organic life in ""Star Trek: Picard""?",Sutra,Jana,Saga,Alton Soong,Sutra
"Who is the captain of the USS Enterprise in ""Star Trek: Strange New Worlds""?",Captain Kirk,Captain Pike,Captain Picard,Captain Sisko,Captain Pike
"What is the name of the science officer aboard the USS Enterprise in ""Star Trek: Strange New Worlds""?",Spock,T'Pol,Seven of Nine,Data,Spock
"Which character is known for saying ""Live long and prosper"" in ""Star Trek: Strange New Worlds""?",Spock,Kirk,McCoy,Uhura,Spock
"Who is the chief medical officer aboard the USS Enterprise in ""Star Trek: Strange New Worlds""?",Dr. McCoy,Dr. Crusher,Dr. Bashir,Dr. Phlox,Dr. McCoy
"What is the name of the chief engineer aboard the USS Enterprise in ""Star Trek: Strange New Worlds""?",Scotty,Geordi La Forge,Trip Tucker,Stamets,Scotty
"Who is the communications officer aboard the USS Enterprise in ""Star Trek: Strange New Worlds""?",Uhura,Hoshi Sato,Ensign Kim,Lt. Reed,Uhura
"What is the name of the helmsman aboard the USS Enterprise in ""Star Trek: Strange New Worlds""?",Sulu,Wesley Crusher,Chekov,Mayweather,Sulu
"Who is the captain of the USS Enterprise-D in ""Star Trek: The Next Generation""?",Captain Kirk,Captain Sisko,Captain Picard,Captain Janeway,Captain Picard
What is the name of the android officer aboard the USS Enterprise-D?,Data,Spock,Worf,Geordi La Forge,Data
"Which character is known for saying ""Make it so"" in ""Star Trek: The Next Generation""?",Captain Kirk,Captain Sisko,Captain Picard,Captain Janeway,Captain Picard
What is the name of the Klingon security officer on the USS Enterprise-D?,Worf,Tuvok,Odo,Chakotay,Worf
What is the name of the counselor aboard the USS Enterprise-D?,Deanna Troi,Tasha Yar,Beverly Crusher,Seven of Nine,Deanna Troi
Who is the chief engineer of the USS Enterprise-D?,Geordi La Forge,Scotty,B'Elanna Torres,Trip Tucker,Geordi La Forge
What is the name of the bartender on the USS Enterprise-D?,Guinan,Quark,Neelix,Ten Forward Server,Guinan
"What is the name of the mysterious entity encountered by the USS Enterprise-D in the episode ""Encounter at Farpoint""?",Q,The Borg,The Crystalline Entity,The Traveler,Q
"Which actor portrays Captain Jean-Luc Picard in ""Star Trek: The Next Generation""?",William Shatner,Patrick Stewart,Leonard Nimoy,Avery Brooks,Patrick Stewart
"What is the name of the advanced race encountered by the crew of the USS Enterprise-D who communicate through thought in the episode ""Darmok""?",Borg,Ferengi,Romulans,Tamarians,Tamarians
"Which episode features the introduction of the Borg, a cybernetic species with a collective hive mind?","""Q Who""","""Best of Both Worlds""","""The Measure of a Man""","""The Inner Light""","""Q Who"""
What is the name of the artificial intelligence that oversees operations on the USS Enterprise-D?,LCARS,HAL 9000,Data,Skynet,LCARS
"What is the name of the Klingon Chancellor who becomes a key ally of the Federation in ""Star Trek: The Next Generation""?",Gowron,Martok,Worf,Kang,Gowron
"What is the name of the omnipotent being who frequently tests humanity and challenges Captain Picard in ""Star Trek: The Next Generation""?",Q,The Traveler,The Prophets,The Caretaker,Q
"In the episode ""The Best of Both Worlds"", which crew member is assimilated by the Borg and becomes Locutus of Borg?",Commander Riker,Lieutenant Worf,Lieutenant Commander Data,Captain Picard,Captain Picard
"What is the name of the time-traveling entity who appears to the crew of the USS Enterprise-D in the episode ""Cause and Effect""?",The Traveler,Q,The Prophets,The Guardian of Forever,The Traveler
"In the episode ""All Good Things..."", which character experiences time anomalies and must travel between past, present, and future to save humanity?",Data,Captain Picard,Doctor Crusher,Worf,Captain Picard
"What is the name of the parasitic species that infiltrates Starfleet Command in the episode ""Conspiracy""?",The Founders,The Dominion,The Trill,The Parasites,The Parasites
"Which episode involves the USS Enterprise-D encountering a sentient gas cloud known as ""Tin Man""?","""Tin Man""","""Darmok""","""The Inner Light""","""The Measure of a Man""","""Tin Man"""
"What is the name of the starship that travels back in time to prevent Earth's first contact with an alien species in the movie ""Star Trek: First Contact""?",USS Enterprise-E,USS Voyager,USS Defiant,USS Excelsior,USS Enterprise-E
What is the name of the Betazoid counselor on the USS Enterprise-D?,Tasha Yar,Beverly Crusher,Deanna Troi,Seven of Nine,Deanna Troi
"Which character is known for his catchphrase ""I'm a doctor, not a...""?",Captain Picard,Commander Riker,Lieutenant Worf,Doctor Crusher,Doctor Crusher
What is the name of the chief medical officer aboard the USS Enterprise-D?,Dr. Beverly Crusher,Dr. Julian Bashir,Dr. Leonard McCoy,Dr. Phlox,Dr. Beverly Crusher
"In the episode ""Chain of Command"", who assumes command of the USS Enterprise-D when Captain Picard is captured by the Cardassians?",Data,Riker,Worf,Crusher,Riker
"What is the name of the alternate universe counterpart of Lieutenant Worf who serves aboard the ISS Enterprise-D in the episode ""Yesterday's Enterprise""?",Reginald Barclay,Thomas Riker,Miles O'Brien,William T. Riker,Reginald Barclay
