Project Name,Description,Category,Tech Stack,Files,Lines of Code,Path
cleanup-tools,"Deep scan and consolidation of all sites, plans, and documentation",Utilities & Tools,Python 3,6,898,archive/system/ECOSYSTEM/scripts/cleanup-tools/MASTER_SITES_CONSOLIDATION.py
GENERATOR_SCRIPTS,🚀 DEPLOYMENT PACKAGE CREATOR,File Processing,Python 3,3,807,MASTER_SEO_PACKAGE_2024/GENERATOR_SCRIPTS/create_deployment_packages.py
core,Deep Research Tool - Core Analysis Engine,File Processing,Python 3,3,675,archive/system/advanced-systems/deep-research-tool/src/core/deep_researcher.py
csv-html-sphinx-docs_generator,Conversations Documentation Generator,File Processing,Python 3,1,654,csv-html-sphinx-docs_generator.py
configs,Codex Configuration Generator - Generate AI tool configurations based on codebase analysis,AI & Machine Learning,Python 3,1,580,archive/system/advanced-systems/deep-research-tool/src/configs/codex_configs.py
testing,Fixed Connection Test - Compatible with all API versions,AI & Machine Learning,"Claude API, OpenAI API",3,564,scripts/testing/test_connections_fixed.py
ultra_content,📝 ULTRA CONTENT ENGINE - MAXIMUM TEXT INTELLIGENCE,AI & Machine Learning,"Claude API, OpenAI API",1,556,archive/system/advanced-systems/specialized_systems/ultra_content/ultra_content_engine.py
comprehensive_home_scanner,Comprehensive Home Directory Python Scanner,File Processing,Python 3,1,504,comprehensive_home_scanner.py
visualizers,Tree Visualizer - Generate interactive HTML tree visualization,AI & Machine Learning,Python 3,1,429,archive/system/advanced-systems/deep-research-tool/src/visualizers/tree_visualizer.py
unified_intelligence,🌟 MASTER ORCHESTRATOR - UNIFIED INTELLIGENCE PLATFORM,Database & Storage,Python 3,1,394,archive/system/advanced-systems/unified_intelligence/master_orchestrator.py
content_based_duplicate_analyzer,Content-Based Duplicate Analyzer,File Processing,Python 3,1,381,content_based_duplicate_analyzer.py
analyze_avatararts,AVATARARTS Directory Deep Dive Analysis,File Processing,Python 3,1,365,analyze_avatararts.py
ai-ml-notes,Intelligent File Deduplication and Merger,AI & Machine Learning,Python 3,2,354,ai-ml-notes/dedup_merge.py
scattered_files_scanner,📊 SCATTERED FILES SCANNER - Adapted from audio.py,File Processing,Python 3,1,340,scattered_files_scanner.py
music-analysis,Intelligent Music Analysis,Data Analysis & Visualization,Python 3,2,332,music-analysis/ANALYZE_MUSIC.py
batch_csv_analyzer,Batch CSV Conversation Analyzer,File Processing,Python 3,1,331,batch_csv_analyzer.py
ultra_seo,🔍 ULTRA SEO ENGINE - MAXIMUM OPTIMIZATION POWER,SEO & Marketing,Python 3,1,318,archive/system/advanced-systems/specialized_systems/ultra_seo/ultra_seo_engine.py
08_automation_scripts,Trending Keywords Tracker - AI Alchemy,Data Analysis & Visualization,"Matplotlib, Pandas, Requests",1,312,archive/reference-files/business-setup/business_setup/08_automation_scripts/trending_keywords_tracker.py
master_file_scanner,📊 MASTER FILE SCANNER - ALL-IN-ONE INVENTORY,File Processing,Python 3,1,309,master_file_scanner.py
content_pipeline,🚀 ADVANCED CONTENT GENERATION PIPELINE,AI & Machine Learning,"Claude API, OpenAI API, Requests",1,292,archive/system/advanced-systems/content_pipeline/advanced_content_pipeline.py
ultra_document,📚 ULTRA DOCUMENT ENGINE - MAXIMUM KNOWLEDGE INTELLIGENCE,Database & Storage,Python 3,1,292,archive/system/advanced-systems/specialized_systems/ultra_document/ultra_document_engine.py
create_multi_asset_csvs,📊 MULTI-ASSET CSV GENERATOR,File Processing,Python 3,1,289,create_multi_asset_csvs.py
ultra_image,🖼️ ULTRA IMAGE ENGINE - MAXIMUM VISUAL INTELLIGENCE,AI & Machine Learning,OpenAI API,1,288,archive/system/advanced-systems/specialized_systems/ultra_image/ultra_image_engine.py
create_deployment_packages,🚀 DEPLOYMENT PACKAGE CREATOR,File Processing,Python 3,1,276,create_deployment_packages.py
avatararts,Python script for avatararts,Utilities & Tools,Python 3,1,255,avatararts/gallery_init.py
ultra_audio,🎵 ULTRA AUDIO ENGINE - MAXIMUM AUDIO INTELLIGENCE,AI & Machine Learning,OpenAI API,1,249,archive/system/advanced-systems/specialized_systems/ultra_audio/ultra_audio_engine.py
create_seo_driven_csvs,SEO-DRIVEN MULTI-CSV GENERATOR,SEO & Marketing,Python 3,1,242,create_seo_driven_csvs.py
final_duplicate_removal_report,Final Duplicate Removal Report Generator,File Processing,Python 3,1,240,final_duplicate_removal_report.py
duplicate_removal_analyzer,Duplicate Removal Analyzer,File Processing,Python 3,1,236,duplicate_removal_analyzer.py
organize_archives,Organize Archives directory - analyze and provide cleanup recommendations,File Processing,Python 3,1,212,organize_archives.py
utils,📋 ASYNC BATCH QUEUE MANAGER,Automation & Workflows,Python 3,1,212,archive/system/advanced-systems/content_intelligence/utils/queue_manager.py
ultra_automation,🤖 ULTRA AUTOMATION ENGINE - MAXIMUM WORKFLOW EFFICIENCY,Automation & Workflows,Python 3,1,204,archive/system/advanced-systems/specialized_systems/ultra_automation/ultra_automation_engine.py
enhanced_duplicate_finder,Enhanced Duplicate Finder,File Processing,Python 3,1,197,enhanced_duplicate_finder.py
find_duplicates,"Find duplicates, create CSV report, and generate diffs",File Processing,Python 3,1,195,find_duplicates.py
database,💾 SMART CACHE MANAGER,Database & Storage,Python 3,1,191,archive/system/advanced-systems/content_intelligence/database/cache_manager.py
tracking,Job Search Web Scraper,Web Scraping & Data Collection,Requests,1,186,JOB_SEARCH_2025/tracking/job_search_scraper.py
create_intelligent_inventory,INTELLIGENT PYTHON INVENTORY GENERATOR,File Processing,Python 3,1,178,create_intelligent_inventory.py
.history,Python script for .history,SEO & Marketing,Python 3,2,168,SEO Content Optimization Suite/.history/conf_20251201195056.py
csv_analyzer,CSV Conversation Analyzer & Improver,File Processing,Python 3,1,165,csv_analyzer.py
n8n-local,Monitor Docker disk usage and warn if it's getting too large.,Utilities & Tools,Python 3,2,162,n8n-local/docker-disk-monitor.py
compare_simplegallery,Compare simplegallery zip files with existing directories,File Processing,Python 3,1,161,compare_simplegallery.py
cleanup_avatararts_duplicates,AVATARARTS Duplicate File Cleanup Script,File Processing,Python 3,1,146,cleanup_avatararts_duplicates.py
quick_compare,Python script for quick compare,File Processing,Python 3,1,131,quick_compare.py
 Master Documentation Index,Create master documentation index,File Processing,Python 3,1,125, Master Documentation Index/create_docs_index.py
analyze_duplicates,Analyze duplicates CSV and create actionable summary,File Processing,Python 3,1,120,analyze_duplicates.py
create_merge_plan,Create merge plan from duplicates CSV,File Processing,Python 3,1,117,create_merge_plan.py
cleanup_ollama_notion,Cleanup Ollama duplicates and organize Notion exports,File Processing,Python 3,1,99,cleanup_ollama_notion.py
scan_all_files,📊 COMPREHENSIVE FILE SCANNER - ALL SCATTERED FILES,File Processing,Python 3,1,89,scan_all_files.py
SEO Content Optimization Suite,Python script for SEO Content Optimization Suite,SEO & Marketing,Python 3,1,87,SEO Content Optimization Suite/conf.py
examples,Example usage of Deep Research Tool,Utilities & Tools,Python 3,1,83,archive/system/advanced-systems/deep-research-tool/examples/example_usage.py
find_and_cleanup,Find and cleanup Ollama duplicates and Notion exports,File Processing,Python 3,1,82,find_and_cleanup.py
11_Python_Scripts,Python script for 11 Python Scripts,AI & Machine Learning,Pandas,2,69,Dr_Adu_GainesvillePFS_SEO_Project/11_Python_Scripts/move_dr_adu.py
deep-research-tool,Setup script for Deep Research Tool,Utilities & Tools,Python 3,1,67,archive/system/advanced-systems/deep-research-tool/setup.py
business_setup,AI Alchemy Website Launcher,Web Development,Python 3,1,65,archive/reference-files/business-setup/business_setup/launch_website.py
cleanup_now,Cleanup Ollama duplicates and organize Notion exports,File Processing,Python 3,1,64,cleanup_now.py
split_json_analysis,Split large INTELLIGENT_HOME_ANALYSIS.json into manageable chunks,Data Analysis & Visualization,Python 3,1,63,split_json_analysis.py
DaLL-E,Python script for DaLL E,File Processing,Python 3,2,47,avatararts/DaLL-E/sort.py
restore_files,Python script for restore files,File Processing,Python 3,1,34,restore_files.py
src,Python script for src,Utilities & Tools,Python 3,1,25,quantumforge-complete/src/cli.py
cleanconnect-complete,AI Voice Agents - Production Ready,AI & Machine Learning,OpenAI API,1,20,cleanconnect-complete/run_ai_voice_agents.py
